Steps, Average Reward
-0.0041284127756604505, -2.1868382919854106
0.008967678082229202, -1.9993055517582654
0.028680165573958694, -1.9867562705395372
0.04183093739576438, -1.9742233936099822
0.06805045959350164, -1.9866578448044887
0.08120123141530733, -1.9741249678749337
0.09437934371907097, -1.949092022594174
0.11411917169275854, -1.9240426730242408
0.13377697822057188, -1.9364935285079206
0.15340744426642738, -1.9614444523428034
0.17976366887395478, -1.9113785617812873
0.19944881588372632, -1.9113293489137622
0.21921598433937184, -1.8737799309926242
0.23242143712509356, -1.8362469173606577
0.24546284701906718, -1.873714313835924
0.2718737525905105, -1.7986482865719964
0.29153155911832396, -1.8110991420556761
0.31775108131606133, -1.8235335932501808
0.33735420687995876, -1.860984585436272
0.35692999196189823, -1.9109356459735665
0.37019012571153587, -1.8484024956391938
0.38990261320326547, -1.835853214420462
0.40969712214086895, -1.7858037281481192
0.4359986657844803, -1.7607379742890092
0.44909475664237, -1.773205234061864
0.4687799036521414, -1.7731560211943407
0.495054106813795, -1.7605903356864356
0.5278080041994979, -1.7855084509429737
0.5540001859152772, -1.8104429704886833
0.5671509577370828, -1.7979100935591301
0.5933978204167782, -1.79784447640243
0.6065212517566259, -1.7978116678240799
0.6262063987663973, -1.7977624549565565
0.6458915457761689, -1.7977132420890314
0.6655493523039822, -1.810164097572713
0.6918782364295517, -1.7725982753623963
0.704892305841567, -1.8225657401888657
0.7178790347716248, -1.8850332733665418
0.7441805784152362, -1.8599675195074337
0.7442899403430683, -1.8099672461026142
0.7772078806205196, -1.7598849512519195
0.783742255808485, -1.7723686153139493
0.8099891184881804, -1.7723029981572491
0.8230305283821542, -1.8097703946325172
0.8427156753919258, -1.809721181764992
0.8625101843295293, -1.7596716954926475
0.869017219035537, -1.784655427905884
0.8887023660453086, -1.7846062150383588
0.9215929658408017, -1.747023988538869
0.9478945094844129, -1.7219582346797608
0.9609359193783868, -1.7594256311550236
0.98721012254004, -1.7468599456471203
1.0003062133979297, -1.7593272054199751
1.0133476232919032, -1.7967946018952432
1.020018700889659, -1.746777924201247
1.0396491669355146, -1.7717288480361315
1.0790194609550574, -1.771630422301083
1.092115551812947, -1.7840976820739396
1.1118006988227187, -1.7840484692064162
1.1380749019843717, -1.7714827836985094
1.1577873894761015, -1.7589335024797794
1.1774998769678309, -1.7463842212610512
1.2103357957994079, -1.7338021314639729
1.216870170987374, -1.7462857955260027
1.2430623527031532, -1.7712203150717123
1.2560764221151688, -1.8211877798981817
1.2692271939369746, -1.8086549029686303
1.295528737580586, -1.7835891491095204
1.3152412250723153, -1.7710398678907904
1.3481044843858505, -1.7459577097425054
1.374378687547504, -1.733392024234604
1.407187265897123, -1.7333100027887287
1.446475538470792, -1.770711782107293
1.4529552326948418, -1.8081955828717344
1.479174754892579, -1.8206300340662391
1.4989692638301824, -1.7705805477938945
1.525243466991836, -1.7580148622859912
1.5384489197775575, -1.7204818486540283
1.5581614072692873, -1.7079325674352965
1.5778192137971008, -1.7203834229189798
1.5777645328331844, -1.7453835596213878
1.6171074863707693, -1.7577852022375442
1.6434363704963388, -1.7202193800272312
1.6500527671301786, -1.6952028390356446
1.6697925951038664, -1.6701534894657133
1.7026558544174013, -1.6450713313174266
1.7222863204632568, -1.6700222551523147
1.7352730493933146, -1.732489788329989
1.748314459287288, -1.7699571848052518
1.7549308559211276, -1.744940643813667
1.7812323995647397, -1.7198748899545606
1.8140683183963167, -1.7072928001574805
1.833753465406088, -1.7072435872899554
1.8927542254714864, -1.7320960853897933
1.925562803821106, -1.7320140639439199
1.9452206103489185, -1.7444649194275978
1.9649330978406483, -1.7319156382088714
1.984672925814336, -1.7068662886389347
2.0108651075301154, -1.731800808184646
2.0306049355038027, -1.7067514586147112
2.056906479147414, -1.6816857047556013
2.0765916261571853, -1.681636491888078
2.0962220922030412, -1.7065874157229626
2.1290580110346182, -1.6940053259258843
