Steps, Average Latency
0.6253367511878132, 269.34482505265555
2.5046124708148945, 267.9394500955148
3.903864679086322, 257.9334498016229
5.456593792349013, 245.06506441131805
7.1725962087939, 237.92818423759525
9.042075530230052, 227.92891896745957
10.465818733978809, 239.40764445605492
11.234835991966952, 226.52803402615632
12.475713096151646, 215.08747367217978
13.24962855323526, 206.50480839877866
14.340294218492334, 200.79126324554665
16.061194834032683, 197.95132822832133
17.795157313827616, 206.56991362842257
19.196042255130862, 197.99622838669643
20.28017698826065, 186.55342302480113
21.516155893349882, 170.81591751432717
22.587228762225095, 147.91459173510535
23.805247603964283, 116.42162065080734
25.330220255685994, 79.20387937368355
26.244550753506303, 76.300308586543
26.900909432298725, 82.09095955720275
27.880549251391912, 116.47999085669497
29.777785034369032, 130.83008147337824
31.80727219292374, 123.69769131549293
32.878345061798946, 100.79636553627111
33.95431612976962, 82.19198491354672
35.38622299867749, 100.8322856629712
36.493215994252786, 109.4418910313974
38.38065537903897, 115.19809133508573
39.938282691397134, 106.62665110127838
41.18242526164546, 98.05072085163351
43.05190458308162, 88.05145558149783
44.300945352425416, 83.7724704883504
46.201446601466195, 100.9871912093653
47.29211226672328, 95.27364605613332
48.84973957908143, 86.70220582232594
50.415530556598696, 85.29234084934765
52.15112576942544, 95.34324130161474
54.04019788724346, 102.53175665746889
55.44598102764217, 98.25501657224024
57.17341257530982, 101.14434176367817
59.07717929041423, 121.2236925890247
59.686188711283826, 105.47720704687572
60.77358891047725, 96.89903178931209
62.00956781556648, 81.16152627883812
64.19253187911244, 71.16675102453996
66.0848694629941, 81.21989648472575
68.13068395186701, 88.41065684849866
69.53156889317027, 79.83697160677252
71.58717978023414, 95.62162228354038
73.019086649142, 114.26192303296483
75.37512041406109, 118.59254330824359
77.55481901154342, 105.73313794961379
78.62099368132316, 78.53486701389448
80.38107988962724, 110.07049324864886
82.27015200744525, 117.25900860450301
83.33959214328864, 92.92536777311534
84.7339461524646, 78.62242232272595
86.29320619785459, 71.48329714108442
88.33412248763203, 74.37711234835984
90.22319460545006, 81.56562770421405
91.9587898182768, 91.61652815648105
93.20946332065243, 88.76985811549949
94.95648766470194, 108.84696393292725
96.1957320358548, 95.97408852678493
97.74682841608568, 81.6733880843143
99.15424428951621, 78.8289630512514
