Steps, Average Latency
0.3034749549789897, 145.21276595744683
0.5277462815980787, 130.05319148936172
1.6699459747882344, 115.69148936170214
2.9688854798906164, 101.32978723404256
4.69052224371373, 102.12765957446808
5.825218435269793, 90.15957446808511
7.099146268258519, 83.77659574468086
8.8307877009271, 81.38297872340426
10.112219035549924, 72.60638297872342
11.575401854198628, 55.85106382978725
14.065730674314679, 61.43617021276596
15.839891949576465, 45.47872340425532
19.1464350030014, 40.69148936170214
20.641299272994065, 63.82978723404257
22.089475088374574, 51.86170212765958
24.177115987460812, 35.904255319148945
25.81371306609751, 63.82978723404257
26.82168345227773, 42.287234042553195
27.799639831921557, 30.319148936170222
28.934336023477616, 28.35106382978725
30.36750483558993, 26.170212765957473
31.914893617021267, 27.553191489361694
34.1117521510038, 29.755319148936167
35.85089708530647, 31.968085106382972
38.19198959514439, 35.159574468085111
39.77189355032348, 31.170212765957473
40.90825718668712, 38.67021276595746
42.040452211031806, 37.5
43.56032815313813, 52.65957446808511
44.88427933035416, 30.319148936170222
46.56589741879543, 43.88297872340425
48.011572066964575, 32.712765957446805
50.352664576802496, 35.904255319148945
52.06929900620288, 38.29787234042554
54.29116921229905, 29.521276595744666
55.520076035483214, 37.5
58.022910691656094, 39.095744680851084
59.314346695124385, 27.12765957446811
60.39901954245313, 31.11702127659575
61.48369238978188, 35.10638297872342
63.67304742213031, 36.70212765957447
65.41469352364436, 31.11702127659575
67.43730407523509, 35.904255319148945
69.44990995798038, 43.88297872340425
71.35079703861801, 37.5
72.94070566264254, 30.319148936170222
74.49059561128524, 35.904255319148945
75.40102047622223, 45.47872340425532
76.46318281864869, 56.64893617021278
77.43863803108117, 45.47872340425532
78.87680917761621, 36.70212765957447
80.77269392383111, 31.914893617021278
82.33258854131928, 34.30851063829789
84.36520376175547, 35.904255319148945
86.27609551123858, 26.329787234042556
87.33825785366504, 37.5
87.42996731808176, 58.24468085106383
88.9056559727873, 37.5
90.62729273661041, 38.29787234042554
91.91622757286733, 27.12765957446811
93.35189755219102, 33.148936170212778
94.58080437537517, 27.12765957446811
95.65047021943572, 35.904255319148945
97.37210698325883, 36.70212765957447
98.79276995931434, 33.51063829787233
